Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,35.48,36.18,34.32,34.49,31.99,81690600
2020-02-01,34.00,35.70,31.52,32.19,29.85,104361200
2020-03-01,31.62,32.64,20.48,24.11,22.36,255734200
2020-04-01,22.83,27.76,21.92,27.05,25.09,130921100
2020-05-01,26.42,28.05,25.47,27.49,25.49,109822300
2020-06-01,28.00,29.90,26.76,29.02,26.91,134006900
2020-07-01,29.21,32.72,29.21,31.94,29.70,82803300
2020-08-01,31.75,34.57,31.68,33.37,31.03,66212800
2020-09-01,33.92,34.84,32.06,33.86,31.49,90686900
2020-10-01,34.25,35.64,33.39,33.59,31.23,92582000
2020-11-01,33.46,37.26,33.39,36.48,33.92,85888600
2020-12-01,37.41,40.26,37.32,40.22,37.40,91435800
2021-01-01,40.85,42.02,38.99,39.14,36.43,71929800
2021-02-01,40.59,43.13,40.44,41.03,38.19,70279200
2021-03-01,41.68,43.84,41.11,42.18,39.26,97344000
2021-04-01,42.45,42.50,39.13,41.02,38.18,102260000
2021-05-01,41.39,44.49,40.65,44.28,41.21,76129600
2021-06-01,44.77,45.44,43.89,44.25,41.18,60656200
2021-07-01,44.18,44.84,43.67,44.69,41.63,54375100
2021-08-01,44.95,48.79,44.76,48.60,45.27,54366500
2021-09-01,48.77,50.13,48.62,48.69,45.36,65412200
2021-10-01,49.00,50.66,48.50,48.84,45.50,66914500
2021-11-01,49.25,50.85,46.89,47.52,44.27,58278100
2021-12-01,48.19,48.73,43.29,45.84,42.70,82100500
2022-01-01,46.52,48.58,43.72,45.87,45.45,82776600
2022-02-01,45.95,46.26,41.20,43.75,43.35,79214800
2022-03-01,43.21,45.43,40.08,44.57,44.17,122819500
2022-04-01,45.22,46.52,43.60,43.64,43.24,92122100
2022-05-01,43.80,44.01,40.10,41.43,41.05,106037600
2022-06-01,41.72,42.40,38.58,39.37,39.01,84138100
2022-07-01,39.16,42.72,38.98,42.68,42.29,63020700
2022-08-01,42.82,44.23,42.58,43.02,42.63,51264300
2022-09-01,43.22,44.48,40.21,40.78,40.41,61448000
2022-10-01,40.74,42.50,39.74,42.20,41.82,53864700
2022-11-01,42.69,44.28,41.89,44.24,43.84,55297200
2022-12-01,44.43,44.47,40.94,41.74,41.36,54684500
2023-01-01,42.00,42.85,40.71,40.99,40.62,52031600
2023-02-01,40.67,40.68,38.78,38.80,38.45,60376000
2023-03-01,39.33,40.35,37.77,39.36,39.00,61301100
2023-04-01,39.30,41.13,39.30,41.12,40.75,26780300
2023-05-01,41.19,42.09,40.74,41.70,41.32,44713600
2023-06-01,41.81,43.81,41.76,43.70,43.30,45852700
2023-07-01,43.82,44.79,43.44,44.76,44.44,48881300
2023-08-01,44.59,44.63,43.13,43.97,43.65,60673300
2023-09-01,44.24,45.46,44.10,44.22,43.90,59362500
2023-10-01,44.27,44.87,42.67,43.24,42.93,63791000
2023-11-01,43.12,46.03,43.11,46.02,45.69,57178000
2023-12-01,46.13,49.10,46.04,48.81,48.46,72841600
2024-01-01,48.68,50.20,48.45,49.89,49.53,79432200
2024-02-01,50.08,51.83,49.82,51.16,50.79,92787900
2024-03-01,51.92,52.45,50.01,51.59,51.22,92348000
2024-04-01,51.85,52.58,50.82,52.35,51.97,107690800
2024-05-01,52.47,54.15,51.24,53.01,52.63,100955700
2024-06-01,54.81,55.92,50.84,55.78,55.38,119673100
2024-07-01,56.04,57.50,55.44,57.42,57.01,95138100
2024-08-01,57.21,57.75,54.23,57.72,57.31,90436600
2024-09-01,57.27,59.49,56.48,58.53,58.11,88223000
2024-10-01,58.67,58.67,54.68,54.82,54.43,117740300
2024-11-01,54.87,55.28,52.89,54.78,54.39,108473200
2024-12-01,54.84,55.85,52.53,52.64,52.26,94349100
2025-01-01,53.58,53.68,49.91,50.99,50.99,106309000
2025-02-01,50.51,51.50,47.65,48.10,48.10,113612100
2025-03-01,48.02,52.15,47.60,51.48,51.48,141411300
2025-04-01,50.86,53.78,48.55,53.57,53.57,206379300
2025-05-01,53.65,54.81,51.25,54.31,54.31,160114200
2025-06-01,54.38,56.01,53.71,55.68,55.68,114926200
2025-07-01,55.75,55.87,52.61,52.64,52.64,138992100
2025-08-01,52.73,54.09,51.83,51.98,51.98,137443300
2025-09-01,52.11,54.45,51.98,52.06,52.06,90575600
2025-10-01,52.46,55.50,52.00,53.97,53.97,120598200
2025-11-01,54.32,55.10,53.48,54.71,54.71,100941200
2025-12-01,54.38,54.60,52.81,54.05,54.05,118333800
2026-01-01,54.58,54.58,50.94,51.74,51.74,129661900
2026-02-01,51.25,53.81,51.19,52.27,52.27,175528400
2026-03-01,50.97,51.26,45.21,46.84,46.84,267955200
2026-04-01,46.60,51.65,46.31,49.42,49.42,163686800
2026-05-01,49.17,50.30,47.13,48.56,48.56,124900900
