Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,61.79,64.17,57.26,57.65,51.52,77811200
2020-02-01,58.17,62.90,53.30,54.96,49.12,93759700
2020-03-01,55.29,57.82,38.26,46.92,41.93,188542100
2020-04-01,44.42,52.79,43.61,51.62,46.13,86273200
2020-05-01,50.21,53.77,49.44,53.56,47.87,88467900
2020-06-01,54.33,60.32,54.08,57.13,51.06,102431900
2020-07-01,57.09,61.59,57.04,60.26,53.86,85726700
2020-08-01,60.77,67.14,60.56,63.07,56.37,74823800
2020-09-01,63.74,67.14,62.10,65.34,58.40,92432100
2020-10-01,65.83,68.49,64.46,64.90,58.00,84136200
2020-11-01,65.97,78.07,65.69,76.42,68.30,86936600
2020-12-01,77.48,86.52,77.21,86.05,76.91,79600800
2021-01-01,89.31,96.30,87.84,88.10,79.34,86237800
2021-02-01,90.58,94.33,87.15,87.97,79.23,63496700
2021-03-01,89.43,90.75,85.63,89.70,80.79,98766300
2021-04-01,90.42,94.14,90.34,90.56,81.56,80295300
2021-05-01,90.30,94.86,88.11,92.03,82.88,72170600
2021-06-01,93.51,94.07,90.89,93.18,83.92,61664400
2021-07-01,92.60,93.13,88.38,88.75,79.93,69709100
2021-08-01,89.00,91.68,81.63,86.69,78.07,71199200
2021-09-01,87.17,87.77,80.01,80.66,72.64,70418100
2021-10-01,80.21,82.45,76.26,79.49,71.59,80644500
2021-11-01,79.58,80.75,74.88,75.73,68.20,83940500
2021-12-01,78.00,81.38,76.78,77.87,70.13,92438000
2022-01-01,78.07,79.84,69.14,72.39,66.58,99220500
2022-02-01,72.68,74.66,68.60,72.41,66.60,97867400
2022-03-01,72.22,72.74,66.60,71.23,65.51,107216700
2022-04-01,71.37,72.08,64.83,66.64,61.29,57609500
2022-05-01,66.70,68.81,62.17,68.04,62.58,82442300
2022-06-01,68.58,68.73,56.73,58.19,53.52,74229100
2022-07-01,56.94,60.64,55.02,60.55,55.69,67507800
2022-08-01,59.77,62.36,56.92,57.91,53.26,67287800
2022-09-01,56.76,56.86,47.32,47.36,43.56,67341300
2022-10-01,47.66,52.20,47.19,51.81,47.65,84565000
2022-11-01,53.06,60.95,51.55,60.70,55.83,81762000
2022-12-01,60.60,60.69,55.44,56.48,51.95,72846000
2023-01-01,55.90,65.62,55.22,63.47,59.08,65053600
2023-02-01,64.25,65.41,58.36,58.50,54.46,71420500
2023-03-01,59.86,61.52,56.78,61.22,56.99,109049300
2023-04-01,60.30,64.04,59.41,60.67,56.48,53270500
2023-05-01,60.46,63.81,59.14,62.78,58.44,68070400
2023-06-01,62.93,67.66,62.48,63.38,59.00,68454300
2023-07-01,64.62,67.95,62.48,67.57,62.90,65321200
2023-08-01,67.74,67.90,60.24,62.45,58.13,78841000
2023-09-01,63.49,63.74,58.32,58.94,54.87,63704700
2023-10-01,58.64,59.88,54.49,54.95,51.15,86664000
2023-11-01,55.29,63.83,55.22,63.04,58.68,78394900
2023-12-01,62.29,66.30,61.13,65.53,61.00,60271100
2024-01-01,64.99,65.08,57.04,59.47,56.81,75207900
2024-02-01,60.86,65.22,60.69,64.11,61.24,68856800
2024-03-01,64.23,68.20,64.08,67.11,64.10,65273200
2024-04-01,66.95,67.55,60.60,63.05,60.22,88951700
2024-05-01,63.14,66.95,61.41,62.18,59.39,58405400
2024-06-01,63.12,66.58,62.56,66.09,63.13,41585300
2024-07-01,66.43,69.52,63.84,66.55,63.57,52704800
2024-08-01,66.24,67.24,58.36,65.50,62.57,80116300
2024-09-01,65.41,67.18,59.97,63.96,61.09,70949600
2024-10-01,64.58,64.58,59.48,59.91,57.23,60905500
2024-11-01,60.29,61.33,55.69,57.43,54.86,68430100
2024-12-01,56.72,56.95,50.74,50.89,48.61,117257400
2025-01-01,51.43,56.33,50.88,53.97,52.78,73068300
2025-02-01,52.76,58.54,52.67,54.67,53.47,60864500
2025-03-01,55.45,57.93,53.23,54.04,52.85,68138000
2025-04-01,54.57,56.32,48.49,56.19,54.96,85180200
2025-05-01,56.26,61.96,55.58,60.63,59.30,67284100
2025-06-01,61.30,72.68,61.14,71.78,70.20,113880800
2025-07-01,71.68,74.36,69.85,72.81,71.21,87858700
2025-08-01,71.27,74.96,70.36,72.24,70.65,75685300
2025-09-01,71.50,81.93,71.39,80.10,78.34,81802500
2025-10-01,81.17,97.52,80.63,97.00,94.87,133556200
2025-11-01,100.58,100.79,86.90,90.87,88.87,161566500
2025-12-01,90.41,98.91,88.40,97.22,95.08,126682400
2026-01-01,101.00,126.32,100.85,122.41,122.41,185094500
2026-02-01,118.76,154.22,118.12,151.37,151.37,315943100
2026-03-01,144.12,149.37,114.92,123.01,123.01,736511400
2026-04-01,125.68,161.55,116.89,160.76,160.76,337830300
2026-05-01,159.91,208.25,159.66,205.83,205.83,363146600
