Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,2201.21,2277.23,2119.01,2119.01,2119.01,13095500
2020-02-01,2086.61,2255.49,1980.82,1987.01,1987.01,13958600
2020-03-01,1997.03,2089.08,1439.43,1754.64,1754.64,17090800
2020-04-01,1737.28,1957.51,1664.13,1947.56,1947.56,21045000
2020-05-01,1906.42,2054.52,1894.29,2029.60,2029.60,16205400
2020-06-01,2037.04,2217.21,2030.82,2108.33,2108.33,19862100
2020-07-01,2128.81,2281.41,2101.33,2249.37,2249.37,18866300
2020-08-01,2251.65,2458.17,2237.04,2326.17,2326.17,17631500
2020-09-01,2340.19,2450.53,2267.63,2327.89,2327.89,19606800
2020-10-01,2330.55,2418.89,2266.93,2267.15,2267.15,15693300
2020-11-01,2276.61,2648.66,2267.95,2591.34,2591.34,24375000
2020-12-01,2613.42,2878.21,2611.67,2873.47,2873.47,24557500
2021-01-01,2874.50,3266.23,2869.11,2976.21,2976.21,26092000
2021-02-01,2976.81,3180.94,2947.24,3012.95,3012.95,30029700
2021-03-01,3021.68,3096.50,2929.36,3061.42,3061.42,27902000
2021-04-01,3073.77,3223.05,3069.68,3147.86,3147.86,30640900
2021-05-01,3149.05,3255.90,3103.88,3203.92,3203.92,18776200
2021-06-01,3207.12,3316.08,3199.18,3296.68,3296.68,35336100
2021-07-01,3297.92,3313.51,3188.80,3202.32,3202.32,22105700
2021-08-01,3218.42,3296.17,3049.03,3199.27,3199.27,13766700
2021-09-01,3195.67,3215.13,3030.60,3068.82,3068.82,14249700
2021-10-01,3056.21,3062.60,2901.51,2970.68,2970.68,13901200
2021-11-01,2984.18,3034.30,2822.73,2839.01,2839.01,13771400
2021-12-01,2860.12,3043.83,2837.03,2977.65,2977.65,10656300
2022-01-01,2998.32,3010.77,2591.53,2663.34,2663.34,10916900
2022-02-01,2706.34,2788.27,2642.63,2699.18,2699.18,10111500
2022-03-01,2698.31,2765.20,2605.81,2757.65,2757.65,14388900
2022-04-01,2745.85,2769.18,2615.50,2695.05,2695.05,22014500
2022-05-01,2669.21,2702.10,2546.80,2685.90,2685.90,16851600
2022-06-01,2670.74,2681.51,2306.48,2332.64,2332.64,12006600
2022-07-01,2342.92,2463.05,2276.63,2451.50,2451.50,7950200
2022-08-01,2444.05,2546.35,2417.01,2472.05,2472.05,9760600
2022-09-01,2443.00,2453.95,2134.77,2155.49,2155.49,9370100
2022-10-01,2189.51,2295.51,2162.87,2293.61,2293.61,11769900
2022-11-01,2301.58,2499.43,2296.44,2472.53,2472.53,12745000
2022-12-01,2501.43,2501.43,2236.38,2236.40,2236.40,8429100
2023-01-01,2249.95,2497.40,2180.67,2425.08,2425.08,9408900
2023-02-01,2446.03,2487.35,2383.76,2412.85,2412.85,9638200
2023-03-01,2414.61,2481.24,2346.11,2476.86,2476.86,10052900
2023-04-01,2485.81,2582.23,2458.50,2501.53,2501.53,16668400
2023-05-01,2504.01,2596.31,2455.99,2577.12,2577.12,13801400
2023-06-01,2572.56,2650.45,2541.72,2564.28,2564.28,12448700
2023-07-01,2580.89,2646.71,2515.07,2632.58,2632.58,11996500
2023-08-01,2644.34,2668.21,2482.06,2556.27,2556.27,12266700
2023-09-01,2551.93,2611.00,2445.51,2465.07,2465.07,7803300
2023-10-01,2435.78,2479.82,2273.97,2277.99,2277.99,9779200
2023-11-01,2292.89,2535.29,2288.64,2535.29,2535.29,9184300
2023-12-01,2520.49,2655.28,2481.00,2655.28,2655.28,8538100
2024-01-01,2645.47,2675.80,2429.12,2497.09,2497.09,12182200
2024-02-01,2491.93,2694.80,2491.93,2642.36,2642.36,10021200
2024-03-01,2664.52,2779.40,2630.16,2746.63,2746.63,10160900
2024-04-01,2766.24,2769.87,2553.55,2692.06,2692.06,10641000
2024-05-01,2693.22,2773.46,2635.44,2636.52,2636.52,10273400
2024-06-01,2657.81,2812.62,2657.81,2797.82,2797.82,12182100
2024-07-01,2792.96,2896.43,2703.86,2770.69,2770.69,10775300
2024-08-01,2787.27,2794.11,2386.96,2674.31,2674.31,8687900
2024-09-01,2683.80,2695.59,2491.30,2593.27,2593.27,6185200
2024-10-01,2566.55,2635.32,2552.36,2556.15,2556.15,7744600
2024-11-01,2542.96,2593.15,2390.56,2455.91,2455.91,10063200
2024-12-01,2479.02,2515.62,2360.18,2399.49,2399.49,9925100
2025-01-01,2400.87,2552.57,2386.84,2517.37,2517.37,8301400
2025-02-01,2468.74,2680.70,2437.61,2532.78,2532.78,9552500
2025-03-01,2522.20,2654.63,2479.46,2481.12,2481.12,9442200
2025-04-01,2511.24,2571.41,2284.72,2556.61,2556.61,11379100
2025-05-01,2556.52,2720.64,2540.57,2697.67,2697.67,8023400
2025-06-01,2692.91,3129.09,2685.14,3071.70,3071.70,10771400
2025-07-01,3089.64,3288.26,3032.47,3245.44,3245.44,11312500
2025-08-01,3210.32,3242.17,3079.27,3186.01,3186.01,6355300
2025-09-01,3164.58,3497.95,3135.02,3424.60,3424.60,8198300
2025-10-01,3444.06,4146.72,3440.42,4107.50,4107.50,8657000
2025-11-01,4123.36,4226.75,3833.35,3926.59,3926.59,7295900
2025-12-01,3967.92,4226.36,3892.08,4214.17,4214.17,8409500
2026-01-01,4224.53,5321.68,4216.68,5224.36,5224.36,11550300
2026-02-01,5122.62,6347.41,4899.30,6244.13,6244.13,17823700
2026-03-01,6165.15,6180.45,5042.99,5052.46,5052.46,23260800
2026-04-01,5330.04,6750.27,5170.27,6598.87,6598.87,20838100
2026-05-01,6782.93,8476.15,6741.63,8476.15,8476.15,12578300
2026-06-01,8485.67,8933.62,7442.73,7730.82,7730.82,3531500
