Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,12202.15,12430.50,11929.60,11962.10,11962.10,10965400
2020-02-01,11627.45,12246.70,11175.05,11201.75,11201.75,10198200
2020-03-01,11387.35,11433.00,7511.10,8597.75,8597.75,21303000
2020-04-01,8584.10,9889.05,8055.80,9859.90,9859.90,12736300
2020-05-01,9533.50,9598.85,8806.75,9580.30,9580.30,13675900
2020-06-01,9726.85,10553.15,9544.35,10302.10,10302.10,16778800
2020-07-01,10323.80,11341.40,10299.60,11073.45,11073.45,14640200
2020-08-01,11057.55,11794.25,10882.25,11387.50,11387.50,14035500
2020-09-01,11464.30,11618.10,10790.20,11247.55,11247.55,12928400
2020-10-01,11364.45,12025.45,11347.05,11642.40,11642.40,11602500
2020-11-01,11697.35,13145.85,11557.40,12968.95,12968.95,13004600
2020-12-01,13062.20,14024.85,12962.80,13981.75,13981.75,12077600
2021-01-01,13996.10,14753.55,13596.75,13634.60,13634.60,13119900
2021-02-01,13758.60,15431.75,13661.75,14529.15,14529.15,14313900
2021-03-01,14702.50,15336.30,14264.40,14690.70,14690.70,9886800
2021-04-01,14798.40,15044.35,14151.40,14631.10,14631.10,9344700
2021-05-01,14481.05,15606.35,14416.25,15582.80,15582.80,9859900
2021-06-01,15629.65,15915.65,15450.90,15721.50,15721.50,8079100
2021-07-01,15755.05,15962.25,15513.45,15763.05,15763.05,5756800
2021-08-01,15874.90,17153.50,15834.65,17132.20,17132.20,6349900
2021-09-01,17185.60,17947.65,17055.05,17618.15,17618.15,6955600
2021-10-01,17531.90,18604.45,17452.90,17671.65,17671.65,7651200
2021-11-01,17783.15,18210.15,16782.40,16983.20,16983.20,5853100
2021-12-01,17104.40,17639.50,16410.20,17354.05,17354.05,5499300
2022-01-01,17387.15,18350.95,16836.80,17339.85,17339.85,5435500
2022-02-01,17529.45,17794.60,16203.25,16793.90,16793.90,5620100
2022-03-01,16593.10,17559.80,15671.45,17464.75,17464.75,7959500
2022-04-01,17436.90,18114.65,16824.70,17102.55,17102.55,5658100
2022-05-01,16924.45,17132.85,15735.75,16584.55,16584.55,6343200
2022-06-01,16594.40,16793.85,15183.40,15780.25,15780.25,5514100
2022-07-01,15703.70,17172.80,15511.05,17158.25,17158.25,5475300
2022-08-01,17243.20,17992.20,17154.80,17759.30,17759.30,5589500
2022-09-01,17485.70,18096.15,16747.70,17094.35,17094.35,6896300
2022-10-01,17102.10,18022.80,16855.55,18012.20,18012.20,4539900
2022-11-01,18130.70,18816.05,17959.20,18758.35,18758.35,5257200
2022-12-01,18871.95,18887.60,17774.25,18105.30,18105.30,4741600
2023-01-01,18131.70,18251.95,17405.55,17662.15,17662.15,5632700
2023-02-01,17811.60,18134.75,17255.20,17303.95,17303.95,5685600
2023-03-01,17360.10,17799.95,16828.35,17359.75,17359.75,5622200
2023-04-01,17427.95,18089.15,17312.75,18065.00,18065.00,4459800
2023-05-01,18124.80,18662.45,18042.40,18534.40,18534.40,5737500
