Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,12026.50,12197.64,11418.22,11495.10,11495.10,36308200
2020-02-01,11365.90,11854.98,11138.03,11292.17,11292.17,43822500
2020-03-01,11184.66,11525.32,8523.63,9708.06,9708.06,74416100
2020-04-01,9726.20,11012.78,9651.52,10992.14,10992.14,59536000
2020-05-01,10781.51,11087.53,10658.50,10942.16,10942.16,58808900
2020-06-01,10971.40,11771.12,10971.40,11621.24,11621.24,66076600
2020-07-01,11622.64,13031.70,11622.64,12664.80,12664.80,82040900
2020-08-01,12642.73,12981.58,12144.76,12591.45,12591.45,84127500
2020-09-01,12617.39,13021.68,12149.81,12515.61,12515.61,87770000
2020-10-01,12567.88,12997.79,12519.12,12546.34,12546.34,65701900
2020-11-01,12565.32,13969.39,12480.66,13722.89,13722.89,88068200
2020-12-01,13810.55,14760.06,13749.71,14732.53,14732.53,142922300
2021-01-01,14720.25,16238.46,14720.25,15138.31,15138.31,114976500
2021-02-01,15176.56,16579.17,15089.96,15953.80,15953.80,74119100
2021-03-01,16127.87,16556.19,15636.43,16431.13,16431.13,123857000
2021-04-01,16538.28,17709.23,16496.16,17566.66,17566.66,172343600
2021-05-01,17505.52,17546.94,15159.86,17068.43,17068.43,196897200
2021-06-01,17098.49,17797.27,16775.85,17755.46,17755.46,157418600
2021-07-01,17801.19,18034.19,16893.70,17247.41,17247.41,154291700
2021-08-01,17256.61,17643.97,16248.08,17490.29,17490.29,108915900
2021-09-01,17463.80,17633.67,16767.20,16934.77,16934.77,82376200
2021-10-01,16883.00,17104.86,16162.17,16987.41,16987.41,80138200
2021-11-01,17021.77,17986.18,17021.77,17427.76,17427.76,119613400
2021-12-01,17428.61,18291.25,17374.59,18218.84,18218.84,95211200
2022-01-01,18260.23,18619.61,17633.03,17674.40,17674.40,69549800
2022-02-01,17750.70,18338.05,17554.97,17652.18,17652.18,60402800
2022-03-01,17657.50,18026.03,16764.78,17693.47,17693.47,95383400
2022-04-01,17657.76,17657.76,16219.41,16592.18,16592.18,77687200
2022-05-01,16593.21,16807.77,15616.68,16807.77,16807.77,68922900
2022-06-01,16718.91,16811.04,14825.73,14825.73,14825.73,66995800
2022-07-01,14812.13,15035.27,13928.66,15000.07,15000.07,67275700
2022-08-01,14982.27,15475.89,14545.69,15095.44,15095.44,66035700
2022-09-01,14981.00,14981.00,13274.72,13424.58,13424.58,58425900
2022-10-01,13359.26,13902.02,12629.48,12949.75,12949.75,50229600
2022-11-01,12933.12,14879.55,12868.25,14879.55,14879.55,61588000
2022-12-01,15059.92,15152.38,13981.63,14137.69,14137.69,60360600
2023-01-01,14108.16,15493.82,14001.97,15265.20,15265.20,28393900
2023-02-01,15346.35,15717.96,15291.68,15503.79,15503.79,47426400
2023-03-01,15435.38,15951.80,15186.74,15868.06,15868.06,67371300
2023-04-01,15838.07,15973.82,15284.46,15579.18,15579.18,51398900
