Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,41.42,41.82,37.78,37.96,25.30,100264000
2020-02-01,38.40,40.76,36.31,37.42,24.94,125300500
2020-03-01,37.95,39.27,29.15,32.97,21.98,221525400
2020-04-01,32.35,37.40,32.12,37.03,24.68,88826100
2020-05-01,36.37,37.50,35.96,37.18,24.78,94654500
2020-06-01,37.39,40.62,37.39,40.22,26.81,118684800
2020-07-01,40.52,45.78,40.51,44.60,29.73,121478900
2020-08-01,44.25,46.04,43.22,43.95,29.30,82233400
2020-09-01,44.42,45.90,42.55,44.90,29.93,127872300
2020-10-01,45.31,46.82,44.80,45.16,30.10,95337900
2020-11-01,45.51,50.43,45.33,49.46,32.97,80661100
2020-12-01,50.07,53.52,49.92,53.08,35.38,66973000
2021-01-01,54.17,58.80,53.55,55.34,37.59,75337900
2021-02-01,56.39,60.47,56.19,58.45,39.70,60472200
2021-03-01,59.27,60.05,56.96,59.96,40.73,98718700
2021-04-01,60.11,65.58,60.08,64.54,43.84,66359900
2021-05-01,63.84,64.68,56.20,62.36,42.36,85242000
2021-06-01,64.01,64.08,61.51,63.95,43.44,57881700
2021-07-01,63.89,65.04,61.92,63.59,43.19,66732300
2021-08-01,64.10,65.30,59.88,64.96,44.12,73024400
2021-09-01,65.15,65.69,61.76,62.01,42.12,72298900
2021-10-01,61.74,63.72,59.86,63.02,42.81,62163400
2021-11-01,63.17,66.65,63.05,64.69,43.94,70667700
2021-12-01,65.93,67.18,63.37,66.61,45.24,93794000
2022-01-01,66.88,68.40,61.62,64.89,45.27,95088800
2022-02-01,65.10,66.76,61.29,63.92,44.59,76102000
2022-03-01,64.30,64.59,59.04,61.45,42.87,117335500
2022-04-01,61.66,62.66,55.21,55.91,39.00,104036600
2022-05-01,55.65,57.50,52.19,57.06,39.81,91289800
2022-06-01,57.22,57.29,49.71,50.42,35.17,95209700
2022-07-01,49.16,51.50,47.66,51.29,35.78,60012100
2022-08-01,50.35,53.10,49.57,50.23,35.04,82058600
2022-09-01,49.34,49.84,43.02,43.10,30.07,69908400
2022-10-01,43.18,45.43,40.89,41.66,29.06,71915300
2022-11-01,42.47,50.91,41.27,50.82,35.45,77897000
2022-12-01,50.99,51.08,39.75,40.16,28.02,75659500
2023-01-01,40.66,45.63,40.28,44.81,36.87,61129300
2023-02-01,45.13,46.11,43.61,43.69,35.94,62146100
2023-03-01,44.40,45.85,42.58,45.33,37.29,73194300
2023-04-01,45.30,45.67,42.90,43.92,36.13,45560100
2023-05-01,43.79,47.36,43.19,46.20,38.01,57454700
2023-06-01,46.18,49.05,46.11,47.02,38.68,59540600
2023-07-01,47.55,49.05,45.74,47.88,39.39,50062200
2023-08-01,47.84,47.89,44.85,45.60,37.51,52522700
2023-09-01,46.01,46.43,44.01,44.55,36.65,47286600
2023-10-01,44.80,46.07,43.22,43.52,35.80,63428600
2023-11-01,43.55,49.25,43.55,48.70,40.07,51270200
2023-12-01,48.53,50.19,43.40,46.03,37.87,48531900
2024-01-01,45.23,45.46,42.13,44.65,41.34,80226600
2024-02-01,44.87,47.17,44.59,46.33,42.90,63288300
2024-03-01,46.37,49.15,46.33,48.68,45.07,61636900
2024-04-01,48.84,49.97,45.36,47.16,43.67,88415500
2024-05-01,47.20,52.54,46.79,50.32,46.59,55921900
2024-06-01,51.07,55.38,49.86,54.19,50.18,45615600
2024-07-01,54.30,57.69,50.98,53.14,49.20,107026400
2024-08-01,52.67,54.67,45.06,53.80,49.81,100246800
2024-09-01,54.07,56.56,50.07,53.87,49.88,73787100
2024-10-01,54.19,57.02,52.95,54.22,50.20,74556800
2024-11-01,55.04,56.73,52.18,53.15,49.21,44716900
2024-12-01,53.92,55.57,51.31,51.76,47.93,44149600
2025-01-01,51.49,54.19,49.80,51.45,49.19,72616500
2025-02-01,50.68,53.67,50.21,50.81,48.58,49035400
2025-03-01,51.32,52.20,46.67,47.48,45.39,66974100
2025-04-01,47.58,48.73,39.44,47.48,45.39,84941800
2025-05-01,48.27,54.42,47.81,52.38,50.08,77995100
2025-06-01,52.25,58.00,52.22,57.40,54.88,82174700
2025-07-01,57.81,59.80,57.40,58.36,55.80,72236200
2025-08-01,58.81,61.36,58.09,58.82,56.24,54672900
2025-09-01,57.63,64.67,57.56,63.62,60.83,60836000
2025-10-01,63.59,67.58,61.60,66.65,63.72,82154000
2025-11-01,66.68,67.06,60.67,64.51,61.68,80384100
2025-12-01,63.93,66.89,59.96,63.53,60.74,67648600
2026-01-01,64.37,71.56,64.19,68.06,68.06,109202100
2026-02-01,68.25,77.25,67.27,75.67,75.67,102972200
2026-03-01,74.16,75.58,67.99,70.92,70.92,183291800
2026-04-01,71.55,90.11,69.05,89.88,89.88,122528100
2026-05-01,89.66,104.16,88.73,102.78,102.78,126553000
