Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,1154.4000,1197.8400,1145.2000,1187.1200,1187.1200,-
2020-02-01,1194.8700,1222.5400,1175.3600,1200.1000,1200.1000,-
2020-03-01,1200.1000,1291.7600,1166.2800,1222.7000,1222.7000,-
2020-04-01,1218.6600,1242.9100,1202.1000,1210.7900,1210.7900,-
2020-05-01,1212.9600,1243.8101,1212.9500,1230.2700,1230.2700,-
2020-06-01,1230.2100,1230.5900,1186.3101,1198.4900,1198.4900,-
2020-07-01,1197.4600,1207.8000,1186.1700,1189.5601,1189.5601,-
2020-08-01,1192.4700,1196.4399,1175.4000,1179.5900,1179.5900,-
2020-09-01,1185.3000,1191.5000,1155.5900,1167.8600,1167.8600,-
2020-10-01,1163.8000,1167.6801,1124.1100,1129.5200,1129.5200,-
2020-11-01,1131.0699,1147.9000,1101.1400,1104.3300,1104.3300,-
2020-12-01,1106.7500,1112.6000,1079.4200,1086.4200,1086.4200,-
2021-01-01,1083.5000,1121.3300,1079.2200,1117.4301,1117.4301,-
2021-02-01,1118.1801,1129.1600,1096.0000,1123.3700,1123.3700,-
2021-03-01,1123.3700,1143.2000,1101.4000,1132.3199,1132.3199,-
2021-04-01,1126.1000,1132.8700,1104.2500,1106.6300,1106.6300,-
2021-05-01,1115.7600,1138.7400,1105.9000,1112.8500,1112.8500,-
2021-06-01,1106.9800,1138.2000,1104.0000,1130.5100,1130.5100,-
2021-07-01,1129.6801,1157.2300,1127.7000,1150.6300,1150.6300,-
2021-08-01,1150.6300,1183.5000,1139.5100,1165.5100,1165.5100,-
2021-09-01,1158.4200,1191.9399,1152.1600,1187.4301,1187.4301,-
2021-10-01,1183.5500,1200.3101,1162.7000,1174.3800,1174.3800,-
2021-11-01,1173.5100,1199.5699,1145.0800,1190.7400,1190.7400,-
2021-12-01,1182.8600,1194.1300,1159.1000,1189.8900,1189.8900,-
2022-01-01,1187.7800,1213.2600,1182.2000,1207.7100,1207.7100,-
2022-02-01,1205.1100,1210.9800,1188.9500,1197.5900,1197.5900,-
2022-03-01,1200.9301,1247.1801,1196.6500,1210.4399,1210.4399,-
2022-04-01,1214.5000,1276.8101,1209.4600,1263.3800,1263.3800,-
2022-05-01,1263.8000,1291.5000,1233.0000,1236.1700,1236.1700,-
2022-06-01,1241.7400,1307.8400,1238.2300,1301.7300,1301.7300,-
2022-07-01,1287.7100,1329.1500,1288.0500,1302.8700,1302.8700,-
2022-08-01,1302.2800,1352.6400,1292.6899,1350.1899,1350.1899,-
2022-09-01,1342.6600,1446.4100,1340.5500,1430.1700,1430.1700,-
2022-10-01,1439.1300,1445.7400,1396.4000,1421.6500,1421.6500,-
2022-11-01,1424.6700,1428.9399,1306.0601,1325.3700,1325.3700,-
2022-12-01,1279.8000,1325.8199,1250.5200,1260.9100,1260.9100,-
2023-01-01,1260.9100,1279.7200,1224.0100,1231.5000,1231.5000,-
2023-02-01,1232.1500,1326.5699,1216.0000,1318.3500,1318.3500,-
2023-03-01,1321.6000,1329.1100,1276.1300,1296.5000,1296.5000,-
2023-04-01,1306.1500,1346.0200,1294.0500,1337.3199,1337.3199,-
2023-05-01,1337.1700,1343.1600,1308.2600,1319.7900,1319.7900,-
2023-06-01,1321.7400,1324.4000,1266.1700,1323.0699,1323.0699,-
2023-07-01,1315.3000,1316.0800,1257.0900,1272.3900,1272.3900,-
2023-08-01,1277.9301,1344.1100,1274.5000,1323.0300,1323.0300,-
2023-09-01,1324.6400,1357.2900,1311.3000,1351.9301,1351.9301,-
2023-10-01,1351.9301,1364.7100,1333.0601,1348.0699,1348.0699,-
2023-11-01,1350.1600,1359.1500,1283.7500,1288.3600,1288.3600,-
2023-12-01,1296.6600,1327.0500,1259.5200,1293.5300,1293.5300,-
2024-01-01,1293.5300,1350.0300,1291.1700,1326.6200,1326.6200,-
2024-02-01,1333.9100,1340.5900,1291.8400,1333.3800,1333.3800,-
2024-03-01,1335.2000,1353.0400,1216.9600,1345.2900,1345.2900,-
2024-04-01,1345.3101,1399.9600,1326.9301,1374.6400,1374.6400,-
2024-05-01,1385.4600,1387.6500,1342.0900,1375.6200,1375.6200,-
2024-06-01,1382.0900,1394.5100,1354.3400,1380.2800,1380.2800,-
2024-07-01,1380.2900,1391.8700,1361.6200,1383.5000,1383.5000,-
2024-08-01,1367.9200,1379.6600,1313.4100,1336.5699,1336.5699,-
2024-09-01,1336.5699,1347.6000,1302.8000,1309.3000,1309.3000,-
2024-10-01,1315.3300,1390.4900,1314.2400,1378.5699,1378.5699,-
2024-11-01,1372.9301,1411.2700,1345.7600,1399.8600,1399.8600,-
2024-12-01,1399.8600,1487.0400,1375.0400,1467.3900,1467.3900,-
2025-01-01,1473.3800,1476.0800,1361.2500,1441.6600,1441.6600,-
2025-02-01,1456.7800,1471.7500,1423.9000,1449.8600,1449.8600,-
2025-03-01,1461.1801,1477.0400,1436.5000,1469.4100,1469.4100,-
2025-04-01,1471.9600,1486.9000,1409.7800,1431.6600,1431.6600,-
2025-05-01,1423.7500,1437.8199,1357.2100,1381.9800,1381.9800,-
2025-06-01,1381.9800,1390.3199,1346.4000,1363.5900,1363.5900,-
2025-07-01,1348.5000,1397.2300,1348.0699,1392.5200,1392.5200,-
2025-08-01,1391.5100,1406.0000,1373.7500,1386.9700,1386.9700,-
2025-09-01,1388.8400,1413.7400,1374.4700,1399.3300,1399.3300,-
2025-10-01,1403.1500,1441.3101,1398.1100,1424.0200,1424.0200,-
2025-11-01,1427.7700,1479.0400,1322.4200,1466.1300,1466.1300,-
2025-12-01,1465.8500,1484.4301,1428.9500,1437.9100,1437.9100,-
2026-01-01,1440.8101,1479.8800,1420.1100,1449.7000,1449.7000,-
2026-02-01,1449.7000,1473.8800,1418.2400,1432.3199,1432.3199,-
2026-03-01,1438.5000,1536.8199,1411.5300,1516.1300,1516.1300,-
2026-04-01,1508.5000,1523.5100,1453.6300,1487.3800,1487.3800,-
2026-05-01,1473.4500,1519.1400,1439.1500,1505.9600,1505.9600,-
2026-06-01,1507.6200,1558.4700,1501.9500,1525.8101,1525.8101,-
