Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,29.8430,30.3860,29.7600,30.2050,30.2050,-
2020-02-01,30.3460,30.4990,29.8790,30.1240,30.1240,-
2020-03-01,30.1240,30.5410,29.7400,30.0300,30.0300,-
2020-04-01,30.2300,30.3560,29.5050,29.6300,29.6300,-
2020-05-01,29.5850,30.1080,29.5850,29.9590,29.9590,-
2020-06-01,29.9440,29.9900,29.2750,29.4115,29.4115,-
2020-07-01,29.3968,29.5510,29.1560,29.1600,29.1600,-
2020-08-01,29.3100,29.4570,29.2050,29.3315,29.3315,-
2020-09-01,29.3277,29.3940,28.7830,28.8900,28.8900,-
2020-10-01,28.7900,28.9460,28.3450,28.3656,28.3656,-
2020-11-01,28.3655,28.6780,28.3480,28.5180,28.5180,-
2020-12-01,28.5182,28.5760,27.8470,28.0700,28.0700,-
2021-01-01,28.0875,28.1199,27.8300,28.0007,28.0007,-
2021-02-01,28.0010,28.0620,27.6500,27.8550,27.8550,-
2021-03-01,27.8560,28.6550,27.0630,28.4411,28.4411,-
2021-04-01,28.3961,28.5910,27.7660,27.7660,27.7660,-
2021-05-01,27.8465,28.1250,26.3860,27.6200,27.6200,-
2021-06-01,27.5197,28.1305,25.3370,27.8759,27.8759,-
2021-07-01,27.8405,28.1530,26.4920,27.9253,27.9253,-
2021-08-01,27.9253,28.0686,26.5510,27.7292,27.7292,-
2021-09-01,27.6250,27.8730,26.0240,27.8124,27.8124,-
2021-10-01,27.8117,28.1670,27.7207,27.8167,27.8167,-
2021-11-01,27.8250,27.9320,26.4740,27.7456,27.7456,-
2021-12-01,27.5810,27.9050,25.9910,27.6587,27.6587,-
2022-01-01,27.7021,27.9340,27.2510,27.8270,27.8270,-
2022-02-01,27.7530,28.1820,26.0030,27.9628,27.9628,-
2022-03-01,27.9752,28.8530,26.5890,28.5256,28.5256,-
2022-04-01,28.6157,29.5890,27.1980,29.4340,29.4340,-
2022-05-01,29.4340,29.8860,27.6090,28.8310,28.8310,-
2022-06-01,28.9915,29.8480,27.5880,29.6650,29.6650,-
2022-07-01,29.6557,30.0670,28.0770,30.0070,30.0070,-
2022-08-01,30.0020,30.4960,27.7910,30.4367,30.4367,-
2022-09-01,30.3327,31.9320,29.1680,31.6305,31.6305,-
2022-10-01,31.8026,32.4090,29.5780,32.1140,32.1140,-
2022-11-01,32.2477,35.1030,29.4850,30.9460,30.9460,-
2022-12-01,30.7780,30.8550,28.8680,30.6477,30.6477,-
2023-01-01,30.6478,30.7670,28.1010,30.0950,30.0950,-
2023-02-01,30.0310,30.8000,27.5830,30.5978,30.5978,-
2023-03-01,30.6458,32.0770,27.7160,30.3520,30.3520,-
2023-04-01,30.5251,30.7900,30.3230,30.7457,30.7457,-
2023-05-01,30.7460,30.8520,30.4690,30.5613,30.5613,-
2023-06-01,30.6459,31.1850,30.5758,31.1173,31.1173,-
2023-07-01,31.1463,31.4880,30.7758,31.3535,31.3535,-
2023-08-01,31.3989,33.6560,28.6320,31.7988,31.7988,-
2023-09-01,31.8078,32.2940,31.1950,32.2312,32.2312,-
2023-10-01,32.2312,32.5050,31.9940,32.2475,32.2475,-
2023-11-01,32.4029,32.4950,30.1880,31.0690,31.0690,-
2023-12-01,31.3740,31.5640,29.6910,30.6821,30.6821,-
2024-01-01,30.6821,31.6490,30.3180,31.1591,31.1591,-
2024-02-01,31.2450,31.7193,31.1100,31.6479,31.6479,-
2024-03-01,31.6149,32.0850,31.2750,31.9259,31.9259,-
2024-04-01,31.9340,32.6770,31.9000,32.4340,32.4340,-
2024-05-01,32.6138,32.6340,31.8130,32.3564,32.3564,-
2024-06-01,32.4645,32.6062,32.1010,32.5020,32.5020,-
2024-07-01,32.5040,32.9220,32.3458,32.7615,32.7615,-
2024-08-01,32.5723,32.8610,31.6100,31.9960,31.9960,-
2024-09-01,31.9960,32.2100,31.4220,31.5750,31.5750,-
2024-10-01,31.5800,32.3128,30.2050,31.8655,31.8655,-
2024-11-01,31.8628,32.6710,31.3650,32.4390,32.4390,-
2024-12-01,32.4390,32.9180,32.2570,32.7600,32.7600,-
2025-01-01,32.8025,33.1530,31.3310,32.9385,32.9385,-
2025-02-01,32.8280,33.2305,32.6153,32.9017,32.9017,-
2025-03-01,32.9050,33.2760,32.5880,33.1858,33.1858,-
2025-04-01,33.2391,33.2710,31.8500,32.3217,32.3217,-
2025-05-01,32.0320,32.1304,27.8910,29.9020,29.9020,-
2025-06-01,29.9020,30.0300,28.7370,29.0950,29.0950,-
2025-07-01,29.2066,30.0390,28.3300,29.8280,29.8280,-
2025-08-01,29.9060,30.9300,29.5970,30.5640,30.5640,-
2025-09-01,30.5605,30.7960,29.9423,30.4582,30.4582,-
2025-10-01,30.4421,30.8540,30.2420,30.7307,30.7307,-
2025-11-01,30.7818,31.4745,30.3620,31.3769,31.3769,-
2025-12-01,31.3800,31.6291,31.0770,31.2436,31.2436,-
2026-01-01,31.3045,31.7410,31.1187,31.5830,31.5830,-
2026-02-01,31.5830,32.7690,31.1755,31.2468,31.2468,-
2026-03-01,31.3750,32.2180,31.3750,32.0390,32.0390,-
2026-04-01,31.9379,32.0800,31.1850,31.6265,31.6265,-
2026-05-01,31.5690,31.7760,31.2960,31.4118,31.4118,-
2026-06-01,31.4128,31.6840,31.2758,31.5409,31.5409,-
